CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP
48201221100,Texas,Harris,3598,391.31,0,1221,203,44,142
48201221300,Texas,Harris,8593,781.97,0,2862,545,70,438
48201221600,Texas,Harris,9217,1240.36,0,3035,765,69,610
48201221700,Texas,Harris,8245,556.91,0,2988,437,38,542
48201222300,Texas,Harris,4512,1003.45,0,1597,320,95,200
48201222401,Texas,Harris,3701,1410.91,1,1221,209,119,243
48201222402,Texas,Harris,5906,3040.67,0,2068,336,110,253
48201222502,Texas,Harris,4025,352.45,0,1344,312,83,113
48201222700,Texas,Harris,5175,715.24,1,1920,558,644,904
48201222800,Texas,Harris,3561,1988.62,0,1313,178,47,122
48201222900,Texas,Harris,7848,1106.86,1,2495,628,178,327
48201230200,Texas,Harris,5054,955.2,1,1280,778,290,442
48201230300,Texas,Harris,1803,650.7,0,477,267,100,171
48201230400,Texas,Harris,3719,346.0,1,1060,429,181,321
48201230800,Texas,Harris,2805,445.95,1,700,480,102,120
