,CensusTract,State,County,LALOWI1_20,GEOID,INTPTLAT,INTPTLON,LAT,LON
131,48049950600,Texas,Brown,936.44982047996,48049950600,+31.7302562,-098.9950932,31.7302562,-98.9950932
132,48049950800,Texas,Brown,234.091918493987,48049950800,+31.7059835,-098.9891979,31.7059835,-98.9891979
133,48049950900,Texas,Brown,1306.85074805807,48049950900,+31.6927723,-098.9828173,31.6927723,-98.9828173
134,48049951000,Texas,Brown,275.31590246642,48049951000,+31.7013575,-098.9628283,31.7013575,-98.9628283
135,48055960200,Texas,Caldwell,1017.99491162058,48055960200,+29.8609340,-097.6385866,29.860934,-97.6385866
136,48055960400,Texas,Caldwell,801.365319236441,48055960400,+29.9019715,-097.6913484,29.9019715,-97.6913484
137,48055960700,Texas,Caldwell,643.330460684273,48055960700,+29.6773536,-097.6424231,29.6773536,-97.6424231
138,48057000200,Texas,Calhoun,1489.41846609604,48057000200,+28.6080043,-096.6185274,28.6080043,-96.6185274
139,48057000400,Texas,Calhoun,2196.3805428224,48057000400,+28.5805898,-096.6742430,28.5805898,-96.674243
140,48061010203,Texas,Cameron,2728.3122797534,48061010203,+26.2392001,-097.7004164,26.2392001,-97.7004164
141,48061010402,Texas,Cameron,3166.05793831466,48061010402,+26.1970586,-097.7449068,26.1970586,-97.7449068
142,48061010601,Texas,Cameron,1646.76688799448,48061010601,+26.2195655,-097.7016770,26.2195655,-97.701677
143,48061011400,Texas,Cameron,3497.80072073098,48061011400,+26.1453025,-097.5914106,26.1453025,-97.5914106
144,48061011500,Texas,Cameron,1712.14648066001,48061011500,+26.1326548,-097.6251267,26.1326548,-97.6251267
145,48061011700,Texas,Cameron,348.16924173403,48061011700,+26.1492004,-097.6527165,26.1492004,-97.6527165
146,48061011801,Texas,Cameron,557.092340148985,48061011801,+26.1700536,-097.6834098,26.1700536,-97.6834098
147,48061011802,Texas,Cameron,2484.69476641807,48061011802,+26.1602484,-097.6952159,26.1602484,-97.6952159
148,48061011901,Texas,Cameron,428.29372113198,48061011901,+26.1666270,-097.8273638,26.166627,-97.8273638
149,48061011902,Texas,Cameron,2198.83460347274,48061011902,+26.1465334,-097.8215691,26.1465334,-97.8215691
150,48061012001,Texas,Cameron,1189.21059621428,48061012001,+26.1782434,-097.7441116,26.1782434,-97.7441116
151,48061012200,Texas,Cameron,5620.45159790428,48061012200,+26.1431884,-097.4883500,26.1431884,-97.48835
152,48061012504,Texas,Cameron,4195.85942883579,48061012504,+25.9596063,-097.5261969,25.9596063,-97.5261969
153,48061012505,Texas,Cameron,6786.92791555061,48061012505,+26.0427875,-097.6226029,26.0427875,-97.6226029
154,48061012507,Texas,Cameron,3030.35702551818,48061012507,+25.9572650,-097.5576075,25.957265,-97.5576075
155,48061012608,Texas,Cameron,1801.90213160577,48061012608,+25.9523018,-097.4575939,25.9523018,-97.4575939
156,48061012609,Texas,Cameron,1016.20998609066,48061012609,+25.9714208,-097.4781728,25.9714208,-97.4781728
157,48061012700,Texas,Cameron,1051.47318933455,48061012700,+25.9786218,-097.2580863,25.9786218,-97.2580863
158,48061012900,Texas,Cameron,587.81415015459,48061012900,+25.9393401,-097.5152496,25.9393401,-97.5152496
159,48061013102,Texas,Cameron,1514.13053437974,48061013102,+25.9350165,-097.4587225,25.9350165,-97.4587225
160,48061013104,Texas,Cameron,475.651362307369,48061013104,+25.9394545,-097.4813700,25.9394545,-97.48137
161,48061013203,Texas,Cameron,1533.19636121392,48061013203,+25.9336986,-097.4379312,25.9336986,-97.4379312
162,48061013204,Texas,Cameron,1779.91973978281,48061013204,+25.9225017,-097.4346845,25.9225017,-97.4346845
163,48061013205,Texas,Cameron,1584.1454102993,48061013205,+25.9227698,-097.4420535,25.9227698,-97.4420535
164,48061013206,Texas,Cameron,2269.43242661288,48061013206,+25.9251622,-097.4250907,25.9251622,-97.4250907
165,48061013207,Texas,Cameron,1823.88739815633,48061013207,+25.9305944,-097.4202966,25.9305944,-97.4202966
166,48061013305,Texas,Cameron,1488.88425466045,48061013305,+25.8998341,-097.4404064,25.8998341,-97.4404064
167,48061013308,Texas,Cameron,2525.53883564006,48061013308,+25.8854884,-097.4459536,25.8854884,-97.4459536
168,48061013309,Texas,Cameron,2304.64772043377,48061013309,+25.8827256,-097.4414764,25.8827256,-97.4414764
169,48061014100,Texas,Cameron,8331.15237973708,48061014100,+25.8820153,-097.4007135,25.8820153,-97.4007135
170,48061014500,Texas,Cameron,700.987479627132,48061014500,+25.9560614,-097.4784796,25.9560614,-97.4784796
171,48063950200,Texas,Camp,720.161441005067,48063950200,+32.9949604,-094.9570412,32.9949604,-94.9570412
172,48067950300,Texas,Cass,364.937916203688,48067950300,+33.1613412,-094.1537392,33.1613412,-94.1537392
173,48067950400,Texas,Cass,532.380737053492,48067950400,+33.1162633,-094.1706387,33.1162633,-94.1706387
174,48073950500,Texas,Cherokee,946.803763402549,48073950500,+31.9897945,-095.2921199,31.9897945,-95.2921199
175,48073950600,Texas,Cherokee,601.646431068937,48073950600,+31.9568655,-095.2335132,31.9568655,-95.2335132
176,48073950700,Texas,Cherokee,797.39596799761,48073950700,+31.9425618,-095.2769119,31.9425618,-95.2769119
177,48073950900,Texas,Cherokee,856.400921045482,48073950900,+31.8041275,-095.0905682,31.8041275,-95.0905682
178,48075950200,Texas,Childress,1401.48313470808,48075950200,+34.4111893,-100.2078504,34.4111893,-100.2078504
179,48083950300,Texas,Coleman,363.534043354657,48083950300,+31.8284934,-099.3931050,31.8284934,-99.393105
180,48085030802,Texas,Collin,1172.58889429084,48085030802,+33.1882683,-096.6255761,33.1882683,-96.6255761
181,48085030900,Texas,Collin,3057.70020517955,48085030900,+33.1818645,-096.6013664,33.1818645,-96.6013664
182,48085031506,Texas,Collin,1892.1442483738,48085031506,+33.0905501,-096.6711733,33.0905501,-96.6711733
183,48085031804,Texas,Collin,654.588079907,48085031804,+32.9936698,-096.7506803,32.9936698,-96.7506803
184,48085032013,Texas,Collin,301.979734778587,48085032013,+33.0540065,-096.6886424,33.0540065,-96.6886424
185,48089750100,Texas,Colorado,508.867000590367,48089750100,+29.6214401,-096.3500157,29.6214401,-96.3500157
186,48091310401,Texas,Comal,1326.63322794613,48091310401,+29.6847842,-098.1471912,29.6847842,-98.1471912
187,48091310501,Texas,Comal,248.951277256011,48091310501,+29.7061990,-098.1040600,29.706199,-98.10406
188,48091310502,Texas,Comal,1224.09282744536,48091310502,+29.7048496,-098.0780308,29.7048496,-98.0780308
189,48097000400,Texas,Cooke,294.646970536356,48097000400,+33.6616023,-097.1763687,33.6616023,-97.1763687
190,48097001100,Texas,Cooke,654.342126010767,48097001100,+33.6081117,-097.1225432,33.6081117,-97.1225432
191,48099010201,Texas,Coryell,2687.29382716347,48099010201,+31.4768851,-097.7218822,31.4768851,-97.7218822
192,48099010501,Texas,Coryell,3223.70744719757,48099010501,+31.1452359,-097.8264239,31.1452359,-97.8264239
193,48099010502,Texas,Coryell,2705.16874377429,48099010502,+31.1441724,-097.8092301,31.1441724,-97.8092301
194,48099010504,Texas,Coryell,1840.37804223597,48099010504,+31.1154776,-097.8433591,31.1154776,-97.8433591
195,48099010601,Texas,Coryell,679.498440455063,48099010601,+31.1280250,-097.8913953,31.128025,-97.8913953
196,48101950100,Texas,Cottle,663.266484573437,48101950100,+34.0919063,-100.2764416,34.0919063,-100.2764416
197,48111950300,Texas,Dallam,940.594464642155,48111950300,+36.0697639,-102.5035799,36.0697639,-102.5035799
198,48113000406,Texas,Dallas,4175.60618429258,48113000406,+32.8359733,-096.8529643,32.8359733,-96.8529643
199,48113002500,Texas,Dallas,2097.68565366149,48113002500,+32.7853521,-096.7452474,32.7853521,-96.7452474
200,48113002701,Texas,Dallas,2409.63653545454,48113002701,+32.7738368,-096.7396835,32.7738368,-96.7396835
201,48113003400,Texas,Dallas,479.43224334158,48113003400,+32.7589154,-096.7809363,32.7589154,-96.7809363
202,48113003800,Texas,Dallas,1453.49582285061,48113003800,+32.7576031,-096.7559946,32.7576031,-96.7559946
203,48113003901,Texas,Dallas,1387.32801656983,48113003901,+32.7599034,-096.7451821,32.7599034,-96.7451821
204,48113003902,Texas,Dallas,1328.37436215493,48113003902,+32.7484474,-096.7543231,32.7484474,-96.7543231
205,48113004000,Texas,Dallas,686.297630617395,48113004000,+32.7459698,-096.7664341,32.7459698,-96.7664341
206,48113004900,Texas,Dallas,674.342914164066,48113004900,+32.7365696,-096.8051170,32.7365696,-96.805117
207,48113005901,Texas,Dallas,455.056302949786,48113005901,+32.6930920,-096.8082157,32.693092,-96.8082157
208,48113005902,Texas,Dallas,435.976560413837,48113005902,+32.6962586,-096.8186963,32.6962586,-96.8186963
209,48113007804,Texas,Dallas,488.580437116324,48113007804,+32.9156579,-096.7570272,32.9156579,-96.7570272
210,48113008603,Texas,Dallas,664.468812857829,48113008603,+32.7358414,-096.7726153,32.7358414,-96.7726153
211,48113008604,Texas,Dallas,2364.80010110884,48113008604,+32.7174152,-096.7700742,32.7174152,-96.7700742
212,48113008701,Texas,Dallas,3070.18580797687,48113008701,+32.7008937,-096.7640305,32.7008937,-96.7640305
213,48113008802,Texas,Dallas,647.52603662014,48113008802,+32.7102895,-096.7875068,32.7102895,-96.7875068
214,48113008900,Texas,Dallas,1987.52484732103,48113008900,+32.7431938,-096.7910735,32.7431938,-96.7910735
215,48113009303,Texas,Dallas,887.501987739466,48113009303,+32.7209387,-096.7242418,32.7209387,-96.7242418
216,48113009304,Texas,Dallas,2009.11759412474,48113009304,+32.7171733,-096.6996967,32.7171733,-96.6996967
217,48113009701,Texas,Dallas,623.66634106636,48113009701,+32.8879437,-096.8771563,32.8879437,-96.8771563
218,48113009900,Texas,Dallas,603.978515470131,48113009900,+32.8842740,-096.9082058,32.884274,-96.9082058
219,48113010000,Texas,Dallas,2736.06916138477,48113010000,+32.8114428,-096.8620144,32.8114428,-96.8620144
220,48113010500,Texas,Dallas,1877.80094278231,48113010500,+32.7768468,-096.8875949,32.7768468,-96.8875949
221,48113010601,Texas,Dallas,3786.13268763292,48113010601,+32.7874552,-096.8979923,32.7874552,-96.8979923
222,48113010602,Texas,Dallas,2051.45462500096,48113010602,+32.7740423,-096.9156261,32.7740423,-96.9156261
223,48113010703,Texas,Dallas,1152.2729126513,48113010703,+32.7286065,-096.9340696,32.7286065,-96.9340696
224,48113010704,Texas,Dallas,325.866751670837,48113010704,+32.7369857,-096.9078149,32.7369857,-96.9078149
225,48113010801,Texas,Dallas,1929.57364881038,48113010801,+32.7149602,-096.9000054,32.7149602,-96.9000054
226,48113010804,Texas,Dallas,800.540066719055,48113010804,+32.7132637,-096.8626793,32.7132637,-96.8626793
227,48113010903,Texas,Dallas,662.272043574601,48113010903,+32.6764033,-096.8868308,32.6764033,-96.8868308
228,48113010904,Texas,Dallas,989.783855166286,48113010904,+32.6755928,-096.8721026,32.6755928,-96.8721026
229,48113011105,Texas,Dallas,2417.24753457307,48113011105,+32.6525669,-096.8268646,32.6525669,-96.8268646
230,48113011200,Texas,Dallas,2074.45776780694,48113011200,+32.6629508,-096.8144614,32.6629508,-96.8144614
231,48113011300,Texas,Dallas,1236.12321786989,48113011300,+32.6662841,-096.7955587,32.6662841,-96.7955587
232,48113011401,Texas,Dallas,3512.73516454664,48113011401,+32.6792908,-096.7693528,32.6792908,-96.7693528
233,48113011500,Texas,Dallas,2205.92582250091,48113011500,+32.7347662,-096.7268403,32.7347662,-96.7268403
234,48113011601,Texas,Dallas,581.985406398773,48113011601,+32.7048154,-096.7163225,32.7048154,-96.7163225
235,48113011602,Texas,Dallas,2172.80610089004,48113011602,+32.6921655,-096.6626202,32.6921655,-96.6626202
236,48113011702,Texas,Dallas,527.107637999724,48113011702,+32.7050432,-096.6410133,32.7050432,-96.6410133
237,48113012000,Texas,Dallas,1324.6842951253,48113012000,+32.7558865,-096.6583533,32.7558865,-96.6583533
238,48113012100,Texas,Dallas,3259.20628602802,48113012100,+32.7695551,-096.6608460,32.7695551,-96.660846
239,48113012301,Texas,Dallas,535.754921674728,48113012301,+32.8174530,-096.6747412,32.817453,-96.6747412
240,48113013010,Texas,Dallas,1754.03645321726,48113013010,+32.8688147,-096.6802329,32.8688147,-96.6802329
241,48113013011,Texas,Dallas,2832.30054078251,48113013011,+32.8780414,-096.6923776,32.8780414,-96.6923776
242,48113013717,Texas,Dallas,327.485880851745,48113013717,+32.9590524,-096.9017557,32.9590524,-96.9017557
243,48113014103,Texas,Dallas,517.465230464935,48113014103,+32.8917158,-096.9844341,32.8917158,-96.9844341
244,48113014116,Texas,Dallas,748.326972282455,48113014116,+32.8472377,-097.0152004,32.8472377,-97.0152004
245,48113014133,Texas,Dallas,1447.60200389008,48113014133,+32.8701043,-097.0029707,32.8701043,-97.0029707
246,48113014204,Texas,Dallas,649.606410034,48113014204,+32.8480286,-096.9242710,32.8480286,-96.924271
247,48113014403,Texas,Dallas,461.322304964065,48113014403,+32.8278797,-097.0197582,32.8278797,-97.0197582
